plotID,GPSdevice,waypoint_beg,plot_beg_UTM_E,plot_beg_UTM_N,estimatedAccuracy_beg_ft,waypoint_end,plot_end_UTM_E,plot_end_UTM_N,estimatedAccuracy_end_ft,treeNum,PILA_waypoint,PILA_UTM_E,PILA_UTM_N,estimatedAccuracy_PILA_ft,datum,zone
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,1,84,263429,4175327,NA,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,2,85,263453,4175334,NA,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,3,86,263459,4175328,NA,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,4,87,263459,4175321,NA,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,5,88,263461,4175324,NA,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,6,118,263387,4175421,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,7,120,263435,4175559,9,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,8,121,263387,4175645,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,9,123,263384,4175654,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,10,124,263384,4175652,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,11,246,263375,4175599,0,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,12,125,263362,4175633,4,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,13,126,263354,4175616,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,14,127,263332,4175625,1,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,15,129,263319,4175578,5,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,16,128,263358,4175593,1,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,17,130,263283,4175567,2,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,18,131,263193,4175471,0,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,19,132,263148,4175508,8,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,20,133,263155,4175510,8,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,21,135,263196,4175519,1,NAD83,11
1,66sr,119,263410,4175542,6,NA,NA,NA,NA,22,136,263187,4175591,7,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,1,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,2,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,3,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,4,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,5,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,6,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,7,211,276551,4155455,0,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,8,212,276552,4155455,1,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,9,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,10,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,11,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,12,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,13,214,276681,4155315,5,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,14,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,15,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,16,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,17,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,18,NA,NA,NA,NA,NAD83,11
10,66i,210,276635,4155392,1,211,276551,4155455,0,19,NA,NA,NA,NA,NAD83,11
